26,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/namePlate/pict140424_1956370000.JPG,,4,2,2014-06-28 09:14:06.998381,2014-06-28 09:14:06.998381
35,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/namePlate/pict140424_1957080000.JPG,,4,3,2014-06-28 09:15:53.284269,2014-06-28 09:15:53.284269
41,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/namePlate/pict140424_1957330000.JPG,,4,4,2014-06-28 09:17:10.088916,2014-06-28 09:17:10.088916
50,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/namePlate/pict140424_1958180000.JPG,,4,5,2014-06-28 09:18:57.573314,2014-06-28 09:18:57.573314
60,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/namePlate/pict140424_1958440000.JPG,,4,6,2014-06-28 09:21:00.213173,2014-06-28 09:21:00.213173
68,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/namePlate/pict140424_1959040000.JPG,,4,7,2014-06-28 09:22:43.569599,2014-06-28 09:22:43.569599
13,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193306.jpg,,7,3,2014-06-28 09:10:42.705825,2014-10-03 16:03:40.409631
14,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193307.jpg,,7,4,2014-06-28 09:11:04.476239,2014-10-03 16:03:40.414473
15,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193308.jpg,,7,5,2014-06-28 09:11:32.72423,2014-10-03 16:03:40.419297
16,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193309.jpg,,7,6,2014-06-28 09:12:06.717873,2014-10-03 16:03:40.424019
18,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193310.jpg,,7,7,2014-06-28 09:12:30.343677,2014-10-03 16:03:40.429089
21,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193311.jpg,,7,8,2014-06-28 09:13:08.198595,2014-10-03 16:03:40.433833
24,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193312.jpg,,7,9,2014-06-28 09:13:47.488349,2014-10-03 16:03:40.438514
27,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193313.jpg,,7,10,2014-06-28 09:14:12.900342,2014-10-03 16:03:40.443336
30,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193314.jpg,,7,11,2014-06-28 09:14:56.148011,2014-10-03 16:03:40.4483
33,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193315.jpg,,7,12,2014-06-28 09:15:44.810985,2014-10-03 16:03:40.4533
36,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193316.jpg,,7,13,2014-06-28 09:16:10.336661,2014-10-03 16:03:40.458008
39,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193317.jpg,,7,14,2014-06-28 09:16:47.866118,2014-10-03 16:03:40.46314
42,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193318.jpg,,7,15,2014-06-28 09:17:21.908051,2014-10-03 16:03:40.468255
45,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193319.jpg,,7,16,2014-06-28 09:18:05.143626,2014-10-03 16:03:40.473255
48,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193320.jpg,,7,17,2014-06-28 09:18:51.088624,2014-10-03 16:03:40.477708
52,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193321.jpg,,7,18,2014-06-28 09:19:20.078073,2014-10-03 16:03:40.482783
55,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193322.jpg,,7,19,2014-06-28 09:19:58.041931,2014-10-03 16:03:40.488535
58,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193323.jpg,,7,20,2014-06-28 09:20:45.560551,2014-10-03 16:03:40.494496
62,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193324.jpg,,7,21,2014-06-28 09:21:19.622751,2014-10-03 16:03:40.500104
65,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193325.jpg,,7,22,2014-06-28 09:22:00.168622,2014-10-03 16:03:40.506072
12,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/lego/R0193305.jpg,,7,2,2014-06-28 09:10:24.037374,2014-10-03 16:03:40.403259
78,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/namePlate/pict140424_2000360000.JPG,,4,8,2014-06-28 09:24:33.456766,2014-06-28 09:24:33.456766
100,https://s3-ap-northeast-1.amazonaws.com/files.fabnavi/namePlate/pict140424_2002410000.JPG,,4,11,2014-06-28 09:29:13.327606,2014-06-28 09:29:13.327606
